,id,created_at,favorite_count,retweet_count,text,clean_text,polarity_tokens,review_len,word_count
0,1479016695171850244,2022-01-06 09:07:13+00:00,3,2,"minister @mcconalogue talks on how the irish family farm model has lasted the test of time; the benefits of @eu membership for supports and access to the european single market; and on #foodvision2030 at @oxfordfarming #orfc22 

📍https://t.co/gnbrahbbba 

https://t.co/3qacqcwy6v","minister @mcconalogue talks on how the irish family farm model has lasted the test of time; the benefits of @eu membership for supports and access to the european single market; and on #foodvision2030 at @oxfordfarming #orfc22 

📍https://t.co/gnbrahbbba 

https://t.co/3qacqcwy6v",-0.023809523809523808,279,38
1,1478777431871864839,2022-01-05 17:16:28+00:00,5,4,"here’s #bewinterready tips for farms:

💡ensure farm is well lit
⚙️get trained on how to use equipment correctly
📱always carry a mobile
🗒plan your work
🧒supervise kids on farms
✔️look after your wellbeing
🚜ensure vehicles are serviced

➡️learn more at https://t.co/oss8toedar https://t.co/x2vayolsoa","here’s #bewinterready tips for farms:

💡ensure farm is well lit
⚙️get trained on how to use equipment correctly
📱always carry a mobile
🗒plan your work
🧒supervise kids on farms
✔️look after your wellbeing
🚜ensure vehicles are serviced

➡️learn more at https://t.co/oss8toedar https://t.co/x2vayolsoa",0.5,298,42
2,1478305852868251653,2022-01-04 10:02:35+00:00,7,2,"extensions have been announced for a number of european innovation partnership (#eip) projects including @duncannoneip, @caomhnuarann,  @curleweip and macgillycuddy reeks @forumeip to continue work until the start of the next #cap strategic plan in 2023

➡️https://t.co/qrflejds00 https://t.co/hatpshhzri","extensions have been announced for a number of european innovation partnership (#eip) projects including @duncannoneip, @caomhnuarann,  @curleweip and macgillycuddy reeks @forumeip to continue work until the start of the next #cap strategic plan in 2023

➡️https://t.co/qrflejds00 https://t.co/hatpshhzri",0.0,304,37
3,1478303286604226565,2022-01-04 09:52:23+00:00,18,11,"a range of public and stakeholder engagements have been announced on the development of a new forest strategy for ireland by minister @pippa_hackett including hosting a deliberative dialogue, similar to the citizens’ assembly model, and a youth dialogue.
🌳https://t.co/7ywsu6yehe https://t.co/fnzrwwffcn","a range of public and stakeholder engagements have been announced on the development of a new forest strategy for ireland by minister @pippa_hackett including hosting a deliberative dialogue, similar to the citizens’ assembly model, and a youth dialogue.
🌳https://t.co/7ywsu6yehe https://t.co/fnzrwwffcn",0.04545454545454545,303,40
4,1477625220580085761,2022-01-02 12:58:00+00:00,13,3,"if you missed any of our webinars during #animalhealth and #antimicrobialresistance awareness week, you can watch them all back now split into topics on our youtube playlist.

🎥watch back here now: https://t.co/brwbpp5ip8

 #onehealth #amr","if you missed any of our webinars during #animalhealth and #antimicrobialresistance awareness week, you can watch them all back now split into topics on our youtube playlist.

🎥watch back here now: https://t.co/brwbpp5ip8

 #onehealth #amr",0.0,239,34
5,1477262329477689345,2022-01-01 12:56:00+00:00,3,4,"the new eu regulations on veterinary medicines and medicated feed aim to increase the availability of veterinary medicinal products across the #eu and address the #onehealth, one welfare challenges of #antimicrobialresistance and antiparasitic resistance
📍https://t.co/wxupjq7tta","the new eu regulations on veterinary medicines and medicated feed aim to increase the availability of veterinary medicinal products across the #eu and address the #onehealth, one welfare challenges of #antimicrobialresistance and antiparasitic resistance
📍https://t.co/wxupjq7tta",0.13636363636363635,279,35
6,1476886604350324737,2021-12-31 12:03:00+00:00,2,0,"#reminder 
the annual sheep and goat census takes place tonight, friday, december 31.

✉️postal forms must arrive to us no later than monday, january 31, 2022

💻online forms via https://t.co/fbfpqmaae2 must be returned by monday, february  14, 2022. https://t.co/eilthezblh","#reminder 
the annual sheep and goat census takes place tonight, friday, december 31.

✉️postal forms must arrive to us no later than monday, january 31, 2022

💻online forms via https://t.co/fbfpqmaae2 must be returned by monday, february  14, 2022. https://t.co/eilthezblh",0.0,273,39
7,1476535540623110144,2021-12-30 12:48:00+00:00,2,0,"some #bewinterready tips for farms:

💡ensure farm is well lit
⚙️get trained on how to use equipment correctly
📱always carry a mobile
🗒plan your work
🧒supervise kids on farms
✔️look after your wellbeing
🚜ensure vehicles are serviced

learn more at https://t.co/oss8toedar https://t.co/1dyuumukg5","some #bewinterready tips for farms:

💡ensure farm is well lit
⚙️get trained on how to use equipment correctly
📱always carry a mobile
🗒plan your work
🧒supervise kids on farms
✔️look after your wellbeing
🚜ensure vehicles are serviced

learn more at https://t.co/oss8toedar https://t.co/1dyuumukg5",0.5,294,42
8,1476483137807003649,2021-12-30 09:19:46+00:00,6,2,central to this project is a pilot results-based payment scheme that rewards participating land managers for environmental services directly related to the conservation of the corncrake by linking payments to the habitat quality,central to this project is a pilot results-based payment scheme that rewards participating land managers for environmental services directly related to the conservation of the corncrake by linking payments to the habitat quality,0.0,228,33
9,1476214438478991367,2021-12-29 15:32:03+00:00,3,1,"minister @pippa_hackett said we ‘exceeded expectations by licensing 8.4 million cubic metres of timber, the highest on record. our output on forest roads was equally impressive with 260km licensed, double our target.’

📍read the interim report here: https://t.co/qpu7ww59h0","minister @pippa_hackett said we ‘exceeded expectations by licensing 8.4 million cubic metres of timber, the highest on record. our output on forest roads was equally impressive with 260km licensed, double our target.’

📍read the interim report here: https://t.co/qpu7ww59h0",0.5,273,38
10,1476214435979177988,2021-12-29 15:32:02+00:00,9,5,"minister @pippa_hackett welcomes progress in third interim report on the implementation of #projectwoodland, notably the 60% increase in forestry licencing in 2021 compared to last year. 

📍 https://t.co/x3ocqxjqdu https://t.co/ku9rgfoyz2","minister @pippa_hackett welcomes progress in third interim report on the implementation of #projectwoodland, notably the 60% increase in forestry licencing in 2021 compared to last year. 

📍 https://t.co/x3ocqxjqdu https://t.co/ku9rgfoyz2",0.16666666666666666,238,29
11,1476159814833168389,2021-12-29 11:55:00+00:00,6,6,"a compulsory housing order is now in place for poultry and captive birds
 
⚠️poultry owners should:
🦠maintain strict biosecurity
🐥stay vigilant against #birdflu

learn more at https://t.co/y7fia7staf https://t.co/yc4tqx9fhg","a compulsory housing order is now in place for poultry and captive birds
 
⚠️poultry owners should:
🦠maintain strict biosecurity
🐥stay vigilant against #birdflu

learn more at https://t.co/y7fia7staf https://t.co/yc4tqx9fhg",0.35,223,28
12,1476147076392263681,2021-12-29 11:04:23+00:00,7,3,"the @corncrakelife project aims to improve conservation status of the #corncrake. it works with land managers and communities to conserve and improve the quality of corncrake habitats, and the ecosystem services they provide like clean water, carbon storage and wider biodiversity","the @corncrakelife project aims to improve conservation status of the #corncrake. it works with land managers and communities to conserve and improve the quality of corncrake habitats, and the ecosystem services they provide like clean water, carbon storage and wider biodiversity",0.3666666666666667,280,41
13,1475873931311603716,2021-12-28 16:59:00+00:00,4,3,"are you travelling this week?⛴✈️🎁

please don’t risk bringing pork or pork products with you into ireland from countries affected by african swine fever(#asf).🐽🐖🐷🥩🥓

learn how to stop the spread of the devastating pig disease.

➡️go to https://t.co/wuilxejjog https://t.co/n6alrr3tt7","are you travelling this week?⛴✈️🎁

please don’t risk bringing pork or pork products with you into ireland from countries affected by african swine fever(#asf).🐽🐖🐷🥩🥓

learn how to stop the spread of the devastating pig disease.

➡️go to https://t.co/wuilxejjog https://t.co/n6alrr3tt7",-0.5,283,39
